The	frequency	distribution	attribute	'lemma'	in	corpus	'internet-en'	For	more	information	visit	http://corpus.leeds.ac.uk/list.html	2005	-	corpus	size:	181376006	tokens	-	lexicon	size:	1701333	types
1	the	48951.33																					
2	be	29621.79																					
3	of	25683.44																					
4	and	23546.3																					
5	to	23346.43																					
6	a	17681.24																					
7	in	15764.7																					
8	that	9519.04																					
9	for	8810.37																					
10	have	8273.81																					
11	it	6489.3																					
12	on	6116.13																					
13	i	6046.45																					
14	with	5538.63																					
15	not	5278.38																					
16	as	5257.18																					
17	you	5203.2																					
18	this	5085.03																					
19	by	4660.08																					
20	or	4447.49																					
21	at	3858.15																					
22	do	3835.19																					
23	from	3602.57																					
24	we	3137.93																					
25	an	3087.14																					
26	will	2952.51																					
27	they	2792.55																					
28	but	2789.07																					
29	all	2408.52																					
30	he	2406.24																					
31	your	2278.69																					
32	if	2262.42																					
33	can	2259.64																					
34	their	2223.79																					
35	one	2194.04																					
36	more	2154.74																					
37	which	2038.81																					
38	use	2016.77																					
39	about	1934.03																					
40	other	1904.21																					
41	make	1864.81																					
42	his	1862.58																					
43	what	1826.61																					
44	there	1818.17																					
45	would	1772.09																					
46	who	1706.41																					
47	my	1664.48																					
48	say	1648.28																					
49	so	1629.29																					
50	when	1609.67																					
51	time	1606.78																					
52	new	1551.58																					
53	our	1441.86																					
54	get	1440.43																					
55	some	1426.81																					
56	work	1408.42																					
57	may	1379																					
58	out	1376.56																					
59	year	1375.45																					
60	also	1359.99																					
61	people	1359.07																					
62	good	1345.53																					
63	no	1342.76																					
64	go	1333.13																					
65	up	1306.79																					
66	these	1281.99																					
67	than	1253.31																					
68	take	1252.76																					
69	any	1210.03																					
70	see	1206.58																					
71	its	1191.35																					
72	how	1189.61																					
73	them	1149.74																					
74	only	1119.28																					
75	like	1115.45																					
76	into	1100.58																					
77	know	1054.96																					
78	need	1029.2																					
79	should	1011.64																					
80	just	999.72																					
81	most	981.78																					
82	first	981.14																					
83	such	966.22																					
84	her	966.18																					
85	me	964.21																					
86	find	962.5																					
87	many	927.04																					
88	give	909.35																					
89	way	907.72																					
90	information	899.02																					
91	Â	898.85																					
92	she	892.33																					
93	well	890.67																					
94	think	879.81																					
95	include	876.58																					
96	now	874.55																					
97	two	870.67																					
98	over	866.34																					
99	could	865.78																					
100	then	861.76																					
101	because	848.7																					
102	us	846.55																					
103	|	840.33																					
104	very	833.67																					
105	come	833.05																					
106	after	813.88																					
107	day	786																					
108	those	777.83																					
109	even	769.59																					
110	right	762.32																					
111	state	753.64																					
112	system	741.02																					
113	where	738.2																					
114	want	734.66																					
115	book	723.23																					
116	through	719.09																					
117	world	715.23																					
118	look	712.87																					
119	$	699.78																					
120	service	688.27																					
121	post	682.57																					
122	much	680.6																					
123	change	674.91																					
124	back	666.44																					
125	student	662.4																					
126	help	660.95																					
127	programme	657.24																					
128	life	653.87																					
129	call	651.71																					
130	school	651.45																					
131	being	647.65																					
132	each	643.96																					
133	child	637.38																					
134	here	634.62																					
135	thing	633.21																					
136	must	628.67																					
137	part	626.38																					
138	great	622.45																					
139	group	610.25																					
140	high	608.86																					
141	number	608.48																					
142	before	601.1																					
143	show	599.21																					
144	between	598.9																					
145	report	590.97																					
146	own	579.71																					
147	him	567.46																					
148	while	563.29																					
149	place	562.97																					
150	support	557.62																					
151	issue	557.01																					
152	long	556.02																					
153	become	550.99																					
154	follow	548.33																					
155	case	545.19																					
156	company	543.19																					
157	same	538.13																					
158	both	537.78																					
159	problem	536.98																					
160	government	536.46																					
161	question	530.87																					
162	member	529.01																					
163	point	527.53																					
164	area	522.99																					
165	site	522.72																					
166	business	522.44																					
167	under	521.15																					
168	public	520.74																					
169	man	519.96																					
170	country	504.5																					
171	page	496.64																					
172	read	493																					
173	home	490.91																					
174	provide	489.97																					
175	result	488.76																					
176	still	487.21																					
177	last	483.29																					
178	start	481.32																					
179	study	473.26																					
180	mean	470.89																					
181	tell	465.76																					
182	order	465.24																					
183	try	464.84																					
184	another	464.01																					
185	research	463.88																					
186	æ	458.49																					
187	however	456.96																					
188	during	456.65																					
189	ask	454.44																					
190	set	453.69																					
191	end	448.55																					
192	down	446.02																					
193	law	444.12																					
194	health	443.83																					
195	without	441.11																					
196	form	438.16																					
197	write	438.01																					
198	level	434.85																					
199	family	433.76																					
200	example	433.43																					
201	course	431.87																					
202	national	431.54																					
203	too	431.51																					
204	learn	429.76																					
205	leave	429.53																					
206	every	427.43																					
207	development	426.75																					
208	three	426.03																					
209	large	423.5																					
210	why	422.93																					
211	name	422.9																					
212	process	421.27																					
213	require	420.57																					
214	different	420.22																					
215	university	419.07																					
216	keep	418.4																					
217	plan	417.16																					
218	policy	416.62																					
219	since	415.1																					
220	project	411.7																					
221	feel	409.03																					
222	design	408.68																					
223	view	407.77																					
224	create	406.59																					
225	american	405.41																					
226	really	403.95																					
227	woman	403.94																					
228	small	396.63																					
229	product	394.24																					
230	might	391.82																					
231	experience	390.82																					
232	comment	389.65																					
233	important	387.34																					
234	base	386.71																					
235	little	386.58																					
236	put	385.51																					
237	around	385.17																					
238	available	384.64																					
239	cost	382.35																					
240	few	380.67																					
241	pay	379.65																					
242	off	378.84																					
243	free	378.7																					
244	old	377.55																					
245	develop	377.31																					
246	community	376.52																					
247	control	376.14																					
248	live	375.84																					
249	within	373.43																					
250	human	373.24																					
251	word	373.08																					
252	against	372.87																					
253	power	371.84																					
254	play	370.62																					
255	increase	369.96																					
256	person	369.94																					
257	fact	367.24																					
258	never	365.85																					
259	war	364.9																					
260	job	364.86																					
261	run	364.6																					
262	offer	360.16																					
263	seem	360.1																					
264	top	359.43																					
265	allow	358.21																					
266	list	356.68																					
267	move	354.5																					
268	interest	353.6																					
269	act	353.49																					
270	next	353.11																					
271	house	351.33																					
272	general	350.37																					
273	term	349.57																					
274	something	348.14																					
275	week	347.68																					
276	care	345.81																					
277	begin	344.38																					
278	revue	343.57																					
279	note	339.67																					
280	story	337.12																					
281	market	335.3																					
282	article	334.95																					
283	education	333.94																					
284	believe	333.62																					
285	activity	332.02																					
286	line	331.86																					
287	datum	331.44																					
288	web	331.3																					
289	often	330.42																					
290	hold	329.99																					
291	present	329.54																					
292	pm	328.89																					
293	technology	328.59																					
294	second	328.37																					
295	value	326.75																					
296	international	326.06																					
297	united	325.01																					
298	open	324.84																					
299	idea	324.44																					
300	less	324.24																					
301	receive	323.97																					
302	month	323.31																					
303	type	321.58																					
304	social	321.19																					
305	bring	320.64																					
306	turn	320.41																					
307	local	319.23																					
308	rate	318.76																					
309	water	317.68																					
310	center	317.31																					
311	individual	316.86																					
312	talk	316.69																					
313	add	315.75																					
314	again	315.58																					
315	lead	315.39																					
316	today	313.73																					
317	cause	312.11																					
318	office	311.84																					
319	city	311.63																					
320	link	311.15																					
321	let	310.77																					
322	action	309.15																					
323	security	309.06																					
324	lot	308.98																					
325	continue	307.54																					
326	organization	306.42																					
327	force	304.31																					
328	always	304.2																					
329	return	304.14																					
330	love	303.54																					
331	party	301.63																					
332	big	301.5																					
333	meet	300.75																					
334	hand	296.68																					
335	price	296																					
336	effect	294.86																					
337	money	294.84																					
338	management	294.13																					
339	full	292.17																					
340	president	292.14																					
341	early	291.9																					
342	event	290.77																					
343	march	290.58																					
344	possible	287.46																					
345	class	287.2																					
346	send	286.81																					
347	provided	286.49																					
348	hour	285.43																					
349	game	284.61																					
350	reason	284.05																					
351	whether	283.61																					
352	low	282.84																					
353	consider	282.8																					
354	test	278.96																					
355	states	277.48																					
356	please	276.73																					
357	real	276.7																					
358	history	276.61																					
359	source	276.13																					
360	section	275.99																					
361	material	275.86																					
362	able	274.29																					
363	once	272.97																					
364	application	272.19																					
365	body	271.71																					
366	several	271.11																					
367	least	270.17																					
368	food	269.86																					
369	understand	269.17																					
370	million	268.78																					
371	rule	268.77																					
372	news	268.44																					
373	access	267.82																					
374	subject	266.5																					
375	department	266.08																					
376	until	264.9																					
377	future	264.5																					
378	practice	263.7																					
379	matter	263.41																					
380	concern	263.37																					
381	benefit	263.27																					
382	standard	263.17																					
383	god	262.69																					
384	customer	262.64																					
385	build	262.49																					
386	team	261.72																					
387	resource	261.39																					
388	computer	261.07																					
389	involve	261.03																					
390	age	260.51																					
391	though	258.87																					
392	happen	258.21																					
393	per	258.14																					
394	share	257.06																					
395	address	256.04																					
396	cover	254.87																					
397	file	254.77																					
398	close	254.26																					
399	friend	254.21																					
400	science	253.99																					
401	rather	253.71																					
402	far	253.63																					
403	contact	252.77																					
404	court	252.17																					
405	committee	251.42																					
406	language	251.32																					
407	shall	251.02																					
408	yet	250.68																					
409	condition	250.24																					
410	amongst	249.24																					
411	buy	249.02																					
412	industry	247.61																					
413	current	247.46																					
414	user	247																					
415	major	246.99																					
416	society	246.74																					
417	record	245.96																					
418	kind	245.82																					
419	tax	245.71																					
420	complete	245.66																					
421	teacher	245.64																					
422	model	244.83																					
423	away	244.16																					
424	date	243.88																					
425	decision	243.46																					
426	enough	242.71																					
427	energy	241.93																					
428	head	241.83																					
429	side	241.47																					
430	paper	241																					
431	training	240.77																					
432	ç	240.74																					
433	political	239.41																					
434	sure	239.31																					
435	apply	239.08																					
436	grow	238.63																					
437	board	238.44																					
438	bad	238.29																					
439	answer	237.49																					
440	face	236.59																					
441	search	236.55																					
442	late	236.53																					
443	already	236.3																					
444	risk	235.02																					
445	software	234.86																					
446	young	234.82																					
447	online	234.62																					
448	john	234.28																					
449	deal	232.97																					
450	special	232.57																					
451	although	231.32																					
452	claim	231.02																					
453	position	230.7																					
454	produce	230.67																					
455	period	230.53																					
456	further	230.07																					
457	lose	229.26																					
458	personal	229.13																					
459	appear	227.86																					
460	four	227.55																					
461	opportunity	227.04																					
462	hard	226.94																					
463	patient	226.22																					
464	approach	226.05																					
465	hear	226																					
466	either	225.71																					
467	field	225.48																					
468	economic	225.24																					
469	sale	222.7																					
470	together	222.64																					
471	quality	220.8																					
472	easy	220.54																					
473	york	220.41																					
474	percent	220.24																					
475	focus	220.24																					
476	music	220.13																					
477	method	219.6																					
478	ever	219.22																					
479	ca	218.07																					
480	past	217.61																					
481	mind	216.64																					
482	fall	216.4																					
483	expect	215.73																					
484	parent	215.62																					
485	effort	215.08																					
486	light	214.7																					
487	upon	214.46																					
488	document	213.82																					
489	room	213.32																					
490	press	213.26																					
491	art	212.22																					
492	above	211.7																					
493	account	211.68																					
494	white	211.66																					
495	feature	211.24																					
496	remain	210.62																					
497	hope	210.52																					
498	internet	210.42																					
499	clear	210.29																					
500	actually	210.05																					
501	visit	209.98																					
502	staff	209.39																					
503	review	208.99																					
504	figure	208.8																					
505	thank	208.78																					
506	space	208.07																					
507	content	208.07																					
508	church	207.95																					
509	step	207.57																					
510	whole	206.44																					
511	meeting	205.46																					
512	bush	205.4																					
513	trade	205.39																					
514	common	205.35																					
515	author	204.77																					
516	â	203.96																					
517	bill	203.7																					
518	sign	203.14																					
519	june	202.01																					
520	air	201.87																					
521	describe	201.73																					
522	north	201.62																					
523	property	201.49																					
524	network	201.38																					
525	medical	201.35																					
526	role	200.7																					
527	knowledge	199.92																					
528	cannot	199.83																					
529	spend	199.82																					
530	message	199.64																					
531	amount	199.24																					
532	pass	198.96																					
533	south	198.89																					
534	america	198.63																					
535	union	198.16																					
536	speak	198.15																					
537	film	197.99																					
538	contain	196.72																					
539	sell	196.7																					
540	financial	196.68																					
541	code	196.42																					
542	serve	195.86																					
543	professional	194.86																					
544	suggest	194.68																					
545	release	193.62																					
546	stop	193.52																					
547	click	193.5																					
548	drive	193.34																					
549	oil	192.53																					
550	particular	192.53																					
551	environment	192.25																					
552	fund	191.34																					
553	almost	191.23																					
554	choose	191.08																					
555	TRUE	190.95																					
556	window	190.86																					
557	text	190.83																					
558	later	190.71																					
559	purpose	190.47																					
560	agree	190.46																					
561	key	190.32																					
562	land	190.29																					
563	private	190.23																					
564	someone	189.8																					
565	sense	189.42																					
566	detail	189.07																					
567	college	188.84																					
568	short	188.21																					
569	relationship	188.08																					
570	night	187.97																					
571	situation	187.73																					
572	death	187.68																					
573	skill	187.25																					
574	response	187.22																					
575	image	187.16																					
576	nothing	186.89																					
577	five	186.35																					
578	accord	186.35																					
579	january	186.3																					
580	along	185.97																					
581	performance	185.6																					
582	building	185.13																					
583	decide	184.99																					
584	determine	184.95																					
585	certain	184.86																					
586	stand	184.6																					
587	charge	184.09																					
588	strong	183.99																					
589	military	183.99																					
590	reduce	183.86																					
591	sound	183.59																					
592	probably	183.38																					
593	medium	183.33																					
594	agency	183.06																					
595	table	183.05																					
596	range	182.3																					
597	specific	180.97																					
598	reach	180.91																					
599	carry	180.86																					
600	likely	180.54																					
601	unit	180.53																					
602	employee	180.1																					
603	april	180.03																					
604	analysis	180																					
605	federal	179.15																					
606	single	179.06																					
607	explain	179.03																					
608	agreement	178.98																					
609	street	178.76																					
610	director	178.64																					
611	especially	178.62																					
612	heart	178.57																					
613	improve	177.81																					
614	black	177.58																					
615	leader	177.52																					
616	eye	177.36																					
617	version	176.91																					
618	treatment	176.41																					
619	attack	176.2																					
620	total	175.65																					
621	statement	175.57																					
622	item	175.25																					
623	difference	175.23																					
624	anything	175.21																					
625	regard	174.95																					
626	bank	174.82																					
627	fire	174.79																					
628	official	174.67																					
629	break	173.83																					
630	watch	173.78																					
631	quite	173.41																					
632	discuss	173.4																					
633	discussion	173.09																					
634	usually	173.07																					
635	car	172.88																					
636	simply	172.81																					
637	themselves	172.8																					
638	worker	172.62																					
639	necessary	171.88																					
640	letter	171.47																					
641	evidence	171.37																					
642	various	171.31																					
643	establish	170.97																					
644	similar	170.53																					
645	email	170.44																					
646	due	169.1																					
647	english	168.59																					
648	authority	168.35																					
649	minute	168.03																					
650	road	167.38																					
651	council	167.12																					
652	direct	167.07																					
653	legal	166.93																					
654	conference	166.81																					
655	walk	166.55																					
656	nature	166.25																					
657	main	166.14																					
658	publish	166.03																					
659	natural	165.66																					
660	structure	165.65																					
661	thus	165.28																					
662	identify	165.27																					
663	itself	165.25																					
664	disease	165.17																					
665	operation	164.98																					
666	association	164.98																					
667	iraq	164.85																					
668	recent	164.7																					
669	production	164.63																					
670	seek	164.55																					
671	plant	164.23																					
672	function	164.1																					
673	simple	163.85																					
674	win	163.83																					
675	raise	163.57																					
676	guide	163.41																					
677	measure	163.13																					
678	credit	162.95																					
679	goal	162.33																					
680	population	161.9																					
681	relate	161.81																					
682	across	161.78																					
683	drug	161.59																					
684	growth	161.58																					
685	die	161.5																					
686	teach	161.3																					
687	remember	161.29																					
688	ensure	161.08																					
689	request	161.06																					
690	accept	160.96																					
691	average	160.7																					
692	sit	160.64																					
693	am	160.27																					
694	size	159.74																					
695	strategy	158.69																					
696	basic	158.55																					
697	blood	158.44																					
698	instead	158.35																					
699	perhaps	157.83																					
700	picture	157.6																					
701	september	157.54																					
702	tool	157.36																					
703	february	157.35																					
704	ago	157.35																					
705	challenge	157.33																					
706	choice	157.2																					
707	ability	156.85																					
708	helpful	156.5																					
709	solution	155.7																					
710	series	155.4																					
711	outside	155.19																					
712	animal	154.89																					
713	reference	154.89																					
714	third	154.66																					
715	requirement	154.65																					
716	cut	154.59																					
717	character	154.52																					
718	option	154.33																					
719	cell	153.91																					
720	theory	153.74																					
721	factor	153.7																					
722	bit	153.13																					
723	occur	152.97																					
724	effective	152.95																					
725	exist	152.72																					
726	anyone	152.63																					
727	culture	152.53																					
728	everyone	152.5																					
729	impact	152.15																					
730	degree	152.07																					
731	below	152.07																					
732	join	151.9																					
733	card	151.86																					
734	phone	151.8																					
735	supply	151.68																					
736	maintain	151.55																					
737	european	151.05																					
738	october	151.04																					
739	everything	150.92																					
740	potential	150.6																					
741	video	150.54																					
742	library	150.54																					
743	july	150.04																					
744	mark	149.94																					
745	represent	149.76																					
746	therefore	149.68																					
747	title	149.47																					
748	addition	149.08																					
749	yes	148.91																					
750	vote	148.61																					
751	demand	148.55																					
752	nation	148.5																					
753	copy	148.45																					
754	difficult	148.13																					
755	sometimes	148.02																					
756	foreign	147.32																					
757	stay	146.92																					
758	attempt	146.91																					
759	exercise	146.83																					
760	enter	146.78																					
761	update	146.61																					
762	travel	146.52																					
763	police	146.3																					
764	bear	146.07																					
765	store	146.06																					
766	notice	146.03																					
767	officer	145.55																					
768	ã	145.23																					
769	half	145.07																					
770	kill	144.27																					
771	commission	144.14																					
772	player	144.11																					
773	movement	143.33																					
774	original	143.06																					
775	contract	142.86																					
776	additional	142.78																					
777	loss	142.24																					
778	appropriate	142.07																					
779	ground	141.97																					
780	december	141.87																					
781	protect	141.49																					
782	manage	141.41																					
783	global	141.07																					
784	prepare	140.88																					
785	front	140.44																					
786	principle	140.19																					
787	century	139.99																					
788	significant	139.86																					
789	central	139.3																					
790	refer	139.04																					
791	economy	138.99																					
792	dog	138.95																					
793	affect	138.89																					
794	physical	138.56																					
795	income	138.53																					
796	rise	138.43																					
797	recognize	138.26																					
798	check	138.13																					
799	success	138.03																					
800	object	138.02																					
801	website	137.87																					
802	washington	137.76																					
803	november	137.65																					
804	wait	137.61																					
805	near	137.6																					
806	final	137.54																					
807	west	137.32																					
808	responsibility	136.98																					
809	administration	136.46																					
810	else	136.36																					
811	define	136.29																					
812	achieve	136.16																					
813	wish	136.16																					
814	girl	135.99																					
815	minister	135.44																					
816	box	135.03																					
817	task	135.02																					
818	conduct	134.88																					
819	safety	134.82																					
820	perform	134.69																					
821	rest	134.32																					
822	east	134.23																					
823	region	134.23																					
824	manager	133.57																					
825	grant	133.54																					
826	communication	133.42																					
827	hospital	133.26																					
828	b	133.26																					
829	piece	133.02																					
830	six	132.96																					
831	¥	132.88																					
832	copyright	132.8																					
833	chapter	132.49																					
834	foot	132.36																					
835	soon	132.24																					
836	draw	132																					
837	finally	131.98																					
838	purchase	131.73																					
839	save	131.72																					
840	couple	131.63																					
841	basis	131.56																					
842	fight	131.36																					
843	fail	131.26																					
844	avoid	131.11																					
845	compare	130.81																					
846	mother	130.75																					
847	reader	130.66																					
848	limited	130.57																					
849	wrong	130.56																					
850	attention	130.54																					
851	club	130.46																					
852	journal	130.21																					
853	poor	130.13																					
854	facility	130.1																					
855	red	129.92																					
856	procedure	129.9																					
857	thought	129.79																					
858	element	129.78																					
859	stage	129.65																					
860	environmental	129.12																					
861	uk	128.91																					
862	mention	128.83																					
863	behind	128.83																					
864	respect	128.37																					
865	town	128.13																					
866	topic	128.09																					
867	europe	128.02																					
868	location	127.53																					
869	mr	127.5																					
870	david	126.87																					
871	associate	126.75																					
872	track	126.37																					
873	indicate	125.88																					
874	weight	125.84																					
875	color	125.84																					
876	investment	125.83																					
877	award	125.53																					
878	pressure	125.48																					
879	opinion	125.19																					
880	encourage	125.18																					
881	lack	124.99																					
882	election	124.83																					
883	county	124.37																					
884	equipment	124.19																					
885	british	124.18																					
886	particularly	123.68																					
887	select	123.51																					
888	consumer	123.3																					
889	peace	123.26																					
890	executive	123.06																					
891	sort	122.83																					
892	kid	122.79																					
893	gain	122.54																					
894	firm	122.46																					
895	institution	122.4																					
896	client	122.2																					
897	august	121.65																					
898	x	121.5																					
899	enjoy	121.32																					
900	writ	121.03																					
901	army	120.8																					
902	whose	120.63																					
903	concept	120.38																					
904	protection	120.3																					
905	middle	120.22																					
906	interview	120.2																					
907	reply	120.15																					
908	tree	119.99																					
909	remove	119.97																					
910	eat	119.87																					
911	technique	119.83																					
912	arm	119.68																					
913	prevent	119.59																					
914	former	119.57																					
915	london	119.5																					
916	express	119.45																					
917	propose	119.38																					
918	wide	119.08																					
919	interesting	119.04																					
920	campaign	118.92																					
921	lie	118.37																					
922	himself	118.16																					
923	influence	118																					
924	throughout	117.91																					
925	c	117.89																					
926	Â	117.72																					
927	voice	117.62																					
928	generally	117.56																					
929	father	117.47																					
930	recommend	117.43																					
931	capital	117.29																					
932	currently	117.2																					
933	beyond	116.9																					
934	target	116.86																					
935	style	116.51																					
936	maybe	116.46																					
937	recently	115.91																					
938	canada	115.88																					
939	treat	115.42																					
940	collection	115.24																					
941	insurance	114.94																					
942	hit	114.65																					
943	argument	114.49																					
944	machine	114.45																					
945	guy	114.36																					
946	inside	114.33																					
947	de	114.19																					
948	chance	114																					
949	doctor	113.97																					
950	forward	113.88																					
951	realize	113.66																					
952	park	113.52																					
953	yourself	113.51																					
954	earth	113.5																					
955	print	113.3																					
956	boy	113.23																					
957	star	113.13																					
958	survey	112.46																					
959	movie	112.27																					
960	promote	112.25																					
961	depend	112.08																					
962	obtain	112.01																					
963	serious	111.98																					
964	district	111.91																					
965	weapon	111.81																					
966	modern	111.72																					
967	station	111.35																					
968	damage	111.3																					
969	limit	111.05																					
970	entire	111.03																					
971	fear	111																					
972	alternative	110.83																					
973	introduce	110.69																					
974	display	110.58																					
975	moment	110.46																					
976	institute	110.42																					
977	california	110.23																					
978	baby	110.16																					
979	race	110.08																					
980	directly	110.06																					
981	annual	109.92																					
982	career	109.88																					
983	trust	109.87																					
984	useful	109.81																					
985		109.71																					
986	sector	109.44																					
987	technical	109.42																					
988	e-mail	109.35																					
989	train	109.3																					
990	responsible	109.17																					
991	fine	108.99																					
992	green	108.95																					
993	clearly	108.93																					
994	successful	108.82																					
995	provision	108.71																					
996	miss	108.7																					
997	son	108.4																					
998	pattern	108.06																					
999	daily	108.02																					
1000	christian	107.98																					
1001	status	107.72																					
1002	previous	107.13																					
1003	prove	106.98																					
1004	truth	106.89																					
1005	freedom	106.82																					
1006	thousand	106.73																					
1007	independent	106.68																					
1008	fee	106.49																					
1009	submit	106.43																					
1010	stock	106.04																					
1011	aspect	105.84																					
1012	pretty	105.7																					
1013	wall	105.07																					
1014	variety	105.02																					
1015	understanding	105																					
1016	morning	104.73																					
1017	partner	104.4																					
1018	wife	104.39																					
1019	adult	104.39																					
1020	unless	103.98																					
1021	george	103.97																					
1022	teaching	103.82																					
1023	china	103.81																					
1024	deep	103.76																					
1025	advice	103.22																					
1026	normal	103.14																					
1027	transfer	103.06																					
1028	defence	103																					
1029	fast	102.83																					
1030	quickly	102.75																					
1031	employment	102.41																					
1032	positive	102.38																					
1033	commercial	102.31																					
1034	regulation	102.26																					
1035	relation	102.2																					
1036		102.15																					
1037	fill	102.04																					
1038	ten	101.87																					
1039	certainly	101.87																					
1040	pick	101.86																					
1041	operate	101.81																					
1042	payment	101.63																					
1043	map	101.51																					
1044	progress	101.38																					
1045	photo	101.34																					
1046	entry	101.25																					
1047	happy	101.2																					
1048	door	101.19																					
1049	glass	101.18																					
1050	james	101.17																					
1051	direction	101.16																					
1052	foundation	101.13																					
1053	complex	101.08																					
1054	services	100.93																					
1055	sea	100.69																					
1056	exchange	100.26																					
1057	listen	100.23																					
1058	traditional	100.22																					
1059	server	100.1																					
1060	assume	100.01																					
1061	ii	99.97																					
1062	nor	99.89																					
1063	paul	99.79																					
1064	civil	99.77																					
1065	primary	99.73																					
1066	debate	99.73																					
1067	ship	99.68																					
1068	drop	99.67																					
1069	behavior	99.64																					
1070	budget	99.62																					
1071	myself	99.4																					
1072	labor	99.34																					
1073	summer	99.18																					
1074	category	99.09																					
1075	critical	98.92																					
1076	indeed	98.78																					
1077	scientific	98.69																					
1078	aid	98.66																					
1079	deliver	98.63																					
1080	description	98.56																					
1081	estimate	98.38																					
1082	prior	98.17																					
1083	expert	97.92																					
1084	implement	97.77																					
1085	schedule	97.73																					
1086	judge	97.7																					
1087	toward	97.66																					
1088	highly	97.6																					
1089	separate	97.54																					
1090	session	97.47																					
1091	fair	97.22																					
1092	marriage	97.17																					
1093	connection	97.14																					
1094	worth	97.09																					
1095	digital	96.85																					
1096	respond	96.83																					
1097	nuclear	96.59																					
1098	billion	96.5																					
1099	professor	96.42																					
1100	speech	96.42																					
1101	conflict	96.39																					
1102	reading	96.01																					
1103	device	95.92																					
1104	dollar	95.83																					
1105	block	95.82																					
1106	alone	95.62																					
1107	towards	95.62																					
1108	senior	95.45																					
1109	michael	95.39																					
1110	balance	95.38																					
1111	reserve	95.33																					
1112	congress	95.3																					
1113	discover	95.22																					
1114	register	95.12																					
1115	planning	94.91																					
1116	reflect	94.69																					
1117	assessment	94.54																					
1118	justice	94.48																					
1119	failure	94.4																					
1120	nearly	94.34																					
1121	tv	94.33																					
1122	safe	94.21																					
1123	quote	94.19																					
1124	secretary	94.16																					
1125	argue	94.11																					
1126	owner	94.04																					
1127	agent	93.99																					
1128	despite	93.96																					
1129	sample	93.93																					
1130	sex	93.92																					
1131	cancer	93.9																					
1132	academic	93.72																					
1133	majority	93.69																					
1134	division	93.68																					
1135	memory	93.63																					
1136	attend	93.61																					
1137	popular	93.48																					
1138	marketing	93.41																					
1139	mile	93.41																					
1140	song	93.34																					
1141	advantage	93.26																					
1142	nice	93.17																					
1143	gas	92.97																					
1144	easily	92.91																					
1145	active	92.91																					
1146	proposal	92.79																					
1147	radio	92.75																					
1148	hundred	92.64																					
1149	error	92.42																					
1150	educational	92.34																					
1151	via	92.28																					
1152	trial	92.13																					
1153	context	92																					
1154	season	91.68																					
1155		91.53																					
1156	except	91.37																					
1157	duty	91.36																					
1158	format	90.93																					
1159	vehicle	90.91																					
1160	advance	90.7																					
