seem	-8586102006784825240	131	1
pick	-8586102006487216366	131	1
represent	-8586102006421100736	0	0
present	-8586102006398491076	0	0
various	-8586102006345453139	0	0
trip	-8586102006311434960	0	0
tie	-8586102006267771737	1	1
initial	-8586102006228796902	1	1
rush	-8586102006136378112	1	1
weak	-8586102006038516045	131	1
represent	-8586102005741269047	1	0
present	-8586102005714279417	1	0
various	-8586102005692017120	1	0
trip	-8586102005651272010	1	0
intellect	-8586101587259448040	-1	-2147483648
intellectual	-8586101587184833794	-1	-2147483648
intelligent	-8586101586859274383	-1	-2147483648
custody	-8586101208543578747	-1	-2147483648
represent	-8586101200177060883	2	0
present	-8586101198771264250	3	1
various	-8586101198746087576	2	0
trip	-8586101198677411460	5	1
tie	-8586101198624978661	5	1
initial	-8586101197870788764	2	1
rush	-8586101197831266837	2	1
initiative	-8586101196649344530	1	1
discipline	-8586101195414923973	1	1
intense	-8586101195257877119	1	1
peak	-8586101195170761849	41	1
peer	-8586101195072707737	1	1
vacation	-8586101195030802498	1	1
cheek	-8586101194983970716	1	1
expansion	-8586101193801297697	0	0
scenario	-8586101193685336518	1	1
strip	-8586101191686095206	1	1
expand	-8586100882582280797	-1	-2147483648
expanse	-8586100882438764244	-1	-2147483648
expansion	-8586100787994451557	1	0
expand	-8586100386255976722	0	0
initiative	-8586100386157977682	2	1
discipline	-8586100386130049267	2	1
intense	-8586100386054353655	2	1
peer	-8586100385967144638	3	1
vacation	-8586100385914578909	5	1
cheek	-8586100385745700403	3	1
expansion	-8586100385612789050	2	0
scenario	-8586100385544008464	3	1
strip	-8586100385461027653	2	1
interpret	-8586100385391637898	0	0
tournament	-8586100385329784131	0	0
tremendous	-8586100385018360503	0	0
protest	-8586100384957296558	2	1
crash	-8586100384835264124	0	0
extensive	-8586100384637157053	0	0
tire	-8586100384553890616	5	1
intellectual	-8586100384197495119	0	0
controversy	-8586100383732682126	0	0
expand	-8586100216473443747	1	0
interpret	-8586100216434036061	1	0
tournament	-8586100216263428628	1	0
tremendous	-8586100216178689456	1	0
crash	-8586100216153013244	1	0
extensive	-8586100215967021282	1	0
intellectual	-8586100215907576079	1	0
controversy	-8586100215603301476	1	0
represent	-8586099585358921310	3	0
various	-8586099585320985821	3	0
expand	-8586099585225091892	2	0
initial	-8586099585185197734	3	1
rush	-8586099585141245039	3	1
interpret	-8586099585095440920	2	0
tournament	-8586099584998228131	2	0
tremendous	-8586099584920497577	2	0
crash	-8586099584874262099	2	0
extensive	-8586099584038464452	2	0
intellectual	-8586099583911881955	2	0
controversy	-8586099583687164459	2	0
presentation	-8586099583585871862	0	0
stable	-8586099583515778686	0	0
representation	-8586099583266204147	0	0
variation	-8586099582976460592	0	0
aide	-8586099582931618203	0	0
pitch	-8586099580764576263	0	0
represent	-8586099577527321313	3	0
stable	-8586099577210742683	1	1
pitch	-8586099577020086462	0	0
boom	-8586099576993976011	0	0
rhythm	-8586099576772606460	0	0
stem	-8586099576736046699	0	0
extension	-8586099576570729098	0	0
aide	-8586099576459379139	0	0
presentation	-8586099022187724663	1	0
representation	-8586099022146483167	1	0
variation	-8586099022110772962	1	0
aide	-8586099022089066259	1	0
pitch	-8586099022045827567	1	0
boom	-8586099022013957402	1	0
extension	-8586099021879655931	1	0
rhythm	-8586099021848457936	1	0
stem	-8586099021695823284	1	0
present	-8586098644053774854	5	1
initiative	-8586098643960175107	3	1
discipline	-8586098643908642612	3	1
intense	-8586098643723143109	3	1
expansion	-8586098643551028571	3	0
strip	-8586098643325389326	3	1
protest	-8586098643278034939	3	1
presentation	-8586098643174051819	2	0
stable	-8586098643124219882	5	1
representation	-8586098643077350504	2	0
variation	-8586098642928622543	2	0
aide	-8586098642856754574	2	0
pitch	-8586098642529775245	2	0
boom	-8586098642410743651	2	0
extension	-8586098642186548851	2	0
rhythm	-8586098642069627805	2	0
stem	-8586098641702249704	2	0
initiate	-8586098641619552252	0	0
trap	-8586098641571209447	0	0
rip	-8586098641325313789	0	0
suck	-8586098641286468102	0	0
grip	-8586098641166848987	0	0
intelligent	-8586098641044881883	0	0
rage	-8586098640936620766	0	0
tide	-8586098640907731698	0	0
tuck	-8586098640854658954	0	0
grasp	-8586098640726388662	0	0
initiate	-8586098479215613037	1	0
trap	-8586098479188622045	1	0
rip	-8586098479162661254	1	0
suck	-8586098479139815782	1	0
grip	-8586098479112007076	1	0
intelligent	-8586098479090612032	1	0
rage	-8586098479066496865	1	0
tide	-8586098479038014717	1	0
tuck	-8586098479019055416	1	0
grasp	-8586098478983019256	1	0
expand	-8586097856704614984	3	0
peer	-8586097856623035043	5	1
cheek	-8586097856541689032	5	1
scenario	-8586097856517815365	5	1
interpret	-8586097856489589444	3	0
tournament	-8586097855193296023	3	0
tremendous	-8586097855125469323	3	0
crash	-8586097855078291046	3	0
extensive	-8586097854895796872	3	0
intellectual	-8586097854685569006	3	0
controversy	-8586097854442290619	3	0
initiate	-8586097854238518370	2	0
trap	-8586097854212756181	2	0
rip	-8586097854145262152	2	0
suck	-8586097854111408381	2	0
grip	-8586097854034808610	2	0
intelligent	-8586097854006309188	2	0
rage	-8586097853910201164	2	0
tide	-8586097853860122306	2	0
tuck	-8586097853831296014	2	0
grasp	-8586097853567232837	2	0
trash	-8586097853498795018	0	0
custody	-8586097853453111161	0	0
oak	-8586097853332085706	0	0
stimulate	-8586097853281090882	0	0
cheer	-8586097853144647358	34	1
soak	-8586097853091402932	0	0
riot	-8586097853059249597	0	0
intensive	-8586097852945606092	0	0
dull	-8586097852865095102	0	0
smash	-8586097852687063035	0	0
trash	-8586097406668855684	1	0
custody	-8586097406620495536	1	0
oak	-8586097406598451569	1	0
stimulate	-8586097406575485303	1	0
soak	-8586097406551713699	1	0
riot	-8586097406526662672	1	0
dull	-8586097406176127129	1	0
smash	-8586097406116684745	1	0
intensive	-8586097405940424826	1	0
bizarre	-8586097371761972609	-1	-2147483648
destiny	-8586097356140964846	-1	-2147483648
represent	-8586096925327202773	5	0
various	-8586096925290243517	5	0
trip	-8586096925259127985	8	1
tie	-8586096925235683886	8	1
initial	-8586096924856061017	5	1
rush	-8586096924820828547	5	1
presentation	-8586096924784255887	3	0
representation	-8586096924718627839	3	0
variation	-8586096924657624250	3	0
aide	-8586096924605630295	3	0
pitch	-8586096923552444494	3	0
boom	-8586096923505987942	3	0
extension	-8586096923370335825	3	0
rhythm	-8586096923258947045	3	0
stem	-8586096923230115066	3	0
trash	-8586096923197767767	2	0
custody	-8586096923158973468	2	0
oak	-8586096923061092447	2	0
stimulate	-8586096923022969618	2	0
soak	-8586096922985304143	2	0
riot	-8586096922955104277	2	0
bizarre	-8586096922765748784	0	0
intensive	-8586096922257732599	2	0
dull	-8586096922197640286	2	0
smash	-8586096922077531389	2	0
destiny	-8586096921928330100	0	0
condom	-8586096921747181428	0	0
cautious	-8586096921632442519	0	0
caution	-8586096921486954352	0	0
witch	-8586096920754123848	0	0
lorry	-8586096920460180044	0	0
maple	-8586096920348220879	0	0
dual	-8586096920288407087	0	0
interpreter	-8586096920167614044	0	0
bizarre	-8586096454862042966	1	0
destiny	-8586096454815637821	1	0
condom	-8586096454788648780	1	0
cautious	-8586096454706039000	1	0
caution	-8586096454652681839	1	0
witch	-8586096454630907609	1	0
lorry	-8586096454506860507	1	0
maple	-8586096454474832435	1	0
dual	-8586096454458876680	1	0
interpreter	-8586096454343215044	1	0
initiative	-8586096045562810582	5	1
discipline	-8586096045479105165	5	1
intense	-8586096045389962588	5	1
vacation	-8586096045365264520	8	1
expansion	-8586096045310230822	5	0
strip	-8586096045235872738	5	1
protest	-8586096044771786857	5	1
tire	-8586096044699646768	8	1
initiate	-8586096044666056126	3	0
trap	-8586096044645980847	3	0
rip	-8586096044620332805	3	0
suck	-8586096044577777881	3	0
grip	-8586096044280593790	3	0
intelligent	-8586096044225931127	3	0
rage	-8586096044156768783	3	0
tide	-8586096044087669162	3	0
tuck	-8586096044062538081	3	0
grasp	-8586096044005207695	3	0
bizarre	-8586096043817956564	2	0
destiny	-8586096043774883175	2	0
condom	-8586096043710532779	2	0
cautious	-8586096043638077701	2	0
caution	-8586096043607109889	2	0
witch	-8586096043584833881	2	0
lorry	-8586096043562634189	2	0
maple	-8586096043262906759	2	0
dual	-8586096043244999070	2	0
interpreter	-8586096043225844219	2	0
gasp	-8586096043141968431	0	0
jerk	-8586096043057013072	0	0
strap	-8586096042960599603	0	0
slash	-8586096042774279128	0	0
clash	-8586096042441645690	0	0
imitate	-8586096042333814506	0	0
oath	-8586096041820989296	0	0
trio	-8586096041763332382	0	0
stripe	-8586096040727308952	0	0
rite	-8586096039571339302	0	0
superb	-8586095800406718730	-1	-2147483648
gasp	-8586095545594352150	1	0
jerk	-8586095545575308011	1	0
strap	-8586095545430820323	1	0
slash	-8586095545364211555	1	0
clash	-8586095545322503982	1	0
imitate	-8586095545261443555	1	0
stripe	-8586095545227698224	1	0
oath	-8586095545202838197	1	0
trio	-8586095545156745665	1	0
rite	-8586095545123500626	1	0
expand	-8586095073219163766	5	0
interpret	-8586095073178342071	5	0
tournament	-8586095073013954268	5	0
tremendous	-8586095072850586967	5	0
crash	-8586095072820107139	5	0
extensive	-8586095072757963022	5	0
intellectual	-8586095072689373750	5	0
controversy	-8586095072640611176	5	0
trash	-8586095072610004904	3	0
custody	-8586095072579501728	3	0
oak	-8586095072559362614	3	0
stimulate	-8586095072490670049	3	0
soak	-8586095072456038080	3	0
riot	-8586095072431381574	3	0
intensive	-8586095072346481419	3	0
dull	-8586095072306106520	3	0
smash	-8586095072274514440	3	0
gasp	-8586095072197126086	2	0
jerk	-8586095072147175578	2	0
strap	-8586095072072160858	2	0
slash	-8586095072012785917	2	0
clash	-8586095071961189084	2	0
imitate	-8586095071887267766	2	0
stripe	-8586095071788017989	2	0
oath	-8586095071734032858	2	0
trio	-8586095071668634439	2	0
rite	-8586095071596417375	2	0
fury	-8586095071484569027	0	0
bloom	-8586095071356215889	0	0
stalk	-8586095071285929204	0	0
stall	-8586095071233938090	0	0
splash	-8586095071202239612	0	0
complement	-8586095070980965460	0	0
tyre	-8586095070883778171	3	1
mimic	-8586095070835468741	0	0
pear	-8586095070780602962	5	1
ditch	-8586095070572596791	0	0
fury	-8586094785043997050	1	0
bloom	-8586094784947049737	1	0
stalk	-8586094784921959929	1	0
stall	-8586094784894765594	1	0
splash	-8586094784849201590	1	0
complement	-8586094784463661877	1	0
mimic	-8586094784427240727	1	0
ditch	-8586094784392445615	1	0
present	-8586094195338919509	8	1
presentation	-8586094195257853250	5	0
stable	-8586094195233865167	8	1
representation	-8586094195192250209	5	0
variation	-8586094195007606810	5	0
aide	-8586094194941405048	5	0
pitch	-8586094194857846294	5	0
boom	-8586094194788189304	5	0
extension	-8586094194757010545	5	0
rhythm	-8586094194688852766	5	0
stem	-8586094194620252237	5	0
bizarre	-8586094194559610663	3	0
destiny	-8586094194535410232	3	0
condom	-8586094194513047203	3	0
cautious	-8586094194431492370	3	0
caution	-8586094194408288108	3	0
witch	-8586094194366010638	3	0
lorry	-8586094194343454753	3	0
maple	-8586094194206646501	3	0
dual	-8586094194185222069	3	0
interpreter	-8586094194134810180	3	0
fury	-8586094194103649614	2	0
bloom	-8586094194076353020	2	0
stalk	-8586094194020717699	2	0
stall	-8586094193905623454	2	0
splash	-8586094193881903073	2	0
complement	-8586094193821058625	2	0
mimic	-8586094193716199804	2	0
ditch	-8586094193671552398	2	0
superb	-8586094193394133342	0	0
staple	-8586094193199646713	0	0
dire	-8586094193050200804	0	0
precaution	-8586094193015054035	0	0
condo	-8586094192944836438	0	0
mock	-8586094192760404199	0	0
compliment	-8586094192655996648	0	0
reap	-8586094192567753765	0	0
pinch	-8586094192465140188	0	0
pier	-8586094192377428816	0	0
superb	-8586093899201646444	1	0
